county,state_name,month,days_of_rain,lowCelsius
Fulton,Georgia,December,8,3
Glynn,Georgia,May,5,17
Glynn,Georgia,June,9,21
Glynn,Georgia,July,8,22
Glynn,Georgia,August,10,22
Glynn,Georgia,January,6,4
Glynn,Georgia,February,6,6
Glynn,Georgia,March,6,8
Glynn,Georgia,April,4,12
Glynn,Georgia,septiembre,8,20
Glynn,Georgia,October,5,14
Glynn,Georgia,November,4,8
Glynn,Georgia,December,5,6
Gwinnett,Georgia,May,8,15
Gwinnett,Georgia,June,9,20
Gwinnett,Georgia,July,8,21
Gwinnett,Georgia,August,8,21
Gwinnett,Georgia,January,8,1
Gwinnett,Georgia,February,8,3
Gwinnett,Georgia,March,9,6
Gwinnett,Georgia,April,7,10
Gwinnett,Georgia,septiembre,5,18
Gwinnett,Georgia,October,5,12
Gwinnett,Georgia,November,6,6
Gwinnett,Georgia,December,9,3
Hall,Georgia,May,7,15
Hall,Georgia,June,8,19
Hall,Georgia,July,8,21
Hall,Georgia,August,8,21
Hall,Georgia,January,8,1
Hall,Georgia,February,8,3
Hall,Georgia,March,7,6
Hall,Georgia,April,7,10
Hall,Georgia,septiembre,5,18
Hall,Georgia,October,4,11
Hall,Georgia,November,6,6
Hall,Georgia,December,9,3
Henry,Georgia,May,7,13
Henry,Georgia,June,7,19
Henry,Georgia,July,8,20
Henry,Georgia,August,7,21
Henry,Georgia,January,6,0
Henry,Georgia,February,7,0
Henry,Georgia,March,7,4
Henry,Georgia,April,6,8
Henry,Georgia,septiembre,5,16
Henry,Georgia,October,5,10
Henry,Georgia,November,6,4
Henry,Georgia,December,7,1
Houston,Georgia,May,5,16
Houston,Georgia,June,8,20
Houston,Georgia,July,9,22
Houston,Georgia,August,8,21
Houston,Georgia,January,7,2
Houston,Georgia,February,6,4
Houston,Georgia,March,7,7
Houston,Georgia,April,6,11
Houston,Georgia,septiembre,5,18
Houston,Georgia,October,4,12
Houston,Georgia,November,5,6
Houston,Georgia,December,7,3
Jackson,Georgia,May,7,13
Jackson,Georgia,June,7,19
Jackson,Georgia,July,8,20
Jackson,Georgia,August,7,21
Jackson,Georgia,January,6,0
Jackson,Georgia,February,7,0
Jackson,Georgia,March,7,4
Jackson,Georgia,April,6,8
Jackson,Georgia,septiembre,5,16
Jackson,Georgia,October,5,10
Jackson,Georgia,November,6,4
Jackson,Georgia,December,7,1
Lowndes,Georgia,May,4,16
Lowndes,Georgia,June,10,20
Lowndes,Georgia,July,10,22
Lowndes,Georgia,August,10,22
Lowndes,Georgia,January,7,4
Lowndes,Georgia,February,7,5
Lowndes,Georgia,March,5,8
Lowndes,Georgia,April,4,12
Lowndes,Georgia,septiembre,6,20
Lowndes,Georgia,October,4,14
Lowndes,Georgia,November,3,8
Lowndes,Georgia,December,7,6
Muscogee,Georgia,May,5,16
Muscogee,Georgia,June,8,20
Muscogee,Georgia,July,8,22
Muscogee,Georgia,August,8,21
Muscogee,Georgia,January,7,1
Muscogee,Georgia,February,7,3
Muscogee,Georgia,March,7,6
Muscogee,Georgia,April,7,10
Muscogee,Georgia,septiembre,5,18
Muscogee,Georgia,October,4,12
Muscogee,Georgia,November,5,6
Muscogee,Georgia,December,7,3
Newton,Georgia,May,7,14
Newton,Georgia,June,7,18
Newton,Georgia,July,8,20
Newton,Georgia,August,7,20
Newton,Georgia,January,8,0
Newton,Georgia,February,7,1
Newton,Georgia,March,8,5
Newton,Georgia,April,6,9
Newton,Georgia,septiembre,6,17
Newton,Georgia,October,5,10
Newton,Georgia,November,6,5
Newton,Georgia,December,7,1
Paulding,Georgia,May,8,13
Paulding,Georgia,June,8,17
Paulding,Georgia,July,8,19
Paulding,Georgia,August,7,19
Paulding,Georgia,January,9,-2
Paulding,Georgia,February,8,0
Paulding,Georgia,March,9,4
Paulding,Georgia,April,7,8
Paulding,Georgia,septiembre,6,15
Paulding,Georgia,October,5,9
Paulding,Georgia,November,7,4
Paulding,Georgia,December,8,0
Richmond,Georgia,May,6,14
Richmond,Georgia,June,8,18
Richmond,Georgia,July,8,21
Richmond,Georgia,August,8,20
Richmond,Georgia,January,7,0
Richmond,Georgia,February,6,2
Richmond,Georgia,March,7,5
Richmond,Georgia,April,5,9
Richmond,Georgia,septiembre,5,17
Richmond,Georgia,October,4,10
Richmond,Georgia,November,5,5
Richmond,Georgia,December,7,2
Rockdale,Georgia,May,7,14
Rockdale,Georgia,June,7,18
Rockdale,Georgia,July,8,20
Rockdale,Georgia,August,7,20
Rockdale,Georgia,January,8,0
Rockdale,Georgia,February,7,1
Rockdale,Georgia,March,8,5
Rockdale,Georgia,April,6,9
Rockdale,Georgia,septiembre,6,17
Rockdale,Georgia,October,5,10
Rockdale,Georgia,November,6,5
Rockdale,Georgia,December,7,1
Spalding,Georgia,May,7,14
Spalding,Georgia,June,8,18
Spalding,Georgia,July,9,20
Spalding,Georgia,August,7,19
Spalding,Georgia,January,9,0
Spalding,Georgia,February,7,2
Spalding,Georgia,March,8,6
Spalding,Georgia,April,6,9
Spalding,Georgia,septiembre,6,16
Spalding,Georgia,October,5,10
Spalding,Georgia,November,6,5
Spalding,Georgia,December,8,1
Troup,Georgia,May,7,14
Troup,Georgia,June,7,18
Troup,Georgia,July,8,20
Troup,Georgia,August,7,20
Troup,Georgia,January,9,0
Troup,Georgia,February,7,2
Troup,Georgia,March,8,5
Troup,Georgia,April,6,9
Troup,Georgia,septiembre,6,17
Troup,Georgia,October,5,10
Troup,Georgia,November,6,5
Troup,Georgia,December,7,2
Walker,Georgia,May,8,11
Walker,Georgia,June,9,15
Walker,Georgia,July,9,18
Walker,Georgia,August,7,17
Walker,Georgia,January,9,-3
Walker,Georgia,February,8,-2
Walker,Georgia,March,9,2
Walker,Georgia,April,7,6
Walker,Georgia,septiembre,7,14
Walker,Georgia,October,6,7
Walker,Georgia,November,7,2
Walker,Georgia,December,9,-2
Walton,Georgia,May,6,13
Walton,Georgia,June,6,17
Walton,Georgia,July,7,19
Walton,Georgia,August,6,19
Walton,Georgia,January,8,0
Walton,Georgia,February,6,1
Walton,Georgia,March,7,4
Walton,Georgia,April,6,8
Walton,Georgia,septiembre,6,16
Walton,Georgia,October,4,10
Walton,Georgia,November,5,5
Walton,Georgia,December,6,1
Whitfield,Georgia,May,7,13
Whitfield,Georgia,June,8,18
Whitfield,Georgia,July,9,20
Whitfield,Georgia,August,7,20
Whitfield,Georgia,January,9,-1
Whitfield,Georgia,February,8,0
Whitfield,Georgia,March,9,4
Whitfield,Georgia,April,7,8
Whitfield,Georgia,septiembre,7,16
Whitfield,Georgia,October,5,9
Whitfield,Georgia,November,7,4
Whitfield,Georgia,December,8,0
Honolulu,Hawaii,May,4,21
Honolulu,Hawaii,June,2,22
Honolulu,Hawaii,July,3,23
Honolulu,Hawaii,August,3,23
Honolulu,Hawaii,January,6,18
Honolulu,Hawaii,February,5,18
Honolulu,Hawaii,March,6,19
Honolulu,Hawaii,April,5,20
Honolulu,Hawaii,septiembre,4,23
Honolulu,Hawaii,October,4,22
Honolulu,Hawaii,November,6,21
Honolulu,Hawaii,December,7,19
Kauai,Hawaii,May,3,18
Kauai,Hawaii,June,2,20
Kauai,Hawaii,July,2,20
Kauai,Hawaii,August,2,20
Kauai,Hawaii,January,6,16
Kauai,Hawaii,February,5,16
Kauai,Hawaii,March,4,16
Kauai,Hawaii,April,4,17
Kauai,Hawaii,septiembre,3,20
Kauai,Hawaii,October,4,20
Kauai,Hawaii,November,4,18
Kauai,Hawaii,December,6,17
Maui,Hawaii,May,4,14
Maui,Hawaii,June,2,15
Maui,Hawaii,July,3,16
Maui,Hawaii,August,3,16
Maui,Hawaii,January,5,13
Maui,Hawaii,February,5,13
Maui,Hawaii,March,6,13
Maui,Hawaii,April,4,13
Maui,Hawaii,septiembre,3,16
Maui,Hawaii,October,3,15
Maui,Hawaii,November,3,15
Maui,Hawaii,December,4,14
Ada,Idaho,May,5,7
Ada,Idaho,June,3,11
Ada,Idaho,July,1,15
Ada,Idaho,August,1,14
Ada,Idaho,January,6,-5
Ada,Idaho,February,5,-3
Ada,Idaho,March,7,0
Ada,Idaho,April,5,3
Ada,Idaho,septiembre,2,10
Ada,Idaho,October,3,4
Ada,Idaho,November,6,-1
Ada,Idaho,December,7,-5
Bannock,Idaho,May,7,2
Bannock,Idaho,June,4,6
Bannock,Idaho,July,2,10
Bannock,Idaho,August,3,9
Bannock,Idaho,January,7,-11
Bannock,Idaho,February,5,-9
Bannock,Idaho,March,5,-4
Bannock,Idaho,April,5,-1
Bannock,Idaho,septiembre,3,4
Bannock,Idaho,October,4,-1
Bannock,Idaho,November,5,-6
Bannock,Idaho,December,7,-10
Bonneville,Idaho,May,9,-1
Bonneville,Idaho,June,6,3
Bonneville,Idaho,July,5,5
Bonneville,Idaho,August,5,4
Bonneville,Idaho,January,7,-14
Bonneville,Idaho,February,6,-13
Bonneville,Idaho,March,6,-8
Bonneville,Idaho,April,8,-5
Bonneville,Idaho,septiembre,5,0
Bonneville,Idaho,October,6,-4
Bonneville,Idaho,November,7,-9
Bonneville,Idaho,December,7,-13
Canyon,Idaho,May,4,8
Canyon,Idaho,June,3,12
Canyon,Idaho,July,2,15
Canyon,Idaho,August,2,13
Canyon,Idaho,January,7,-6
Canyon,Idaho,February,5,-3
Canyon,Idaho,March,7,0
Canyon,Idaho,April,5,3
Canyon,Idaho,septiembre,2,8
Canyon,Idaho,October,3,3
Canyon,Idaho,November,7,-2
Canyon,Idaho,December,7,-5
Kootenai,Idaho,May,8,4
Kootenai,Idaho,June,7,8
Kootenai,Idaho,July,3,11
Kootenai,Idaho,August,3,10
Kootenai,Idaho,January,11,-6
Kootenai,Idaho,February,9,-6
Kootenai,Idaho,March,9,-3
Kootenai,Idaho,April,8,1
Kootenai,Idaho,septiembre,4,6
Kootenai,Idaho,October,7,1
Kootenai,Idaho,November,11,-3
Kootenai,Idaho,December,11,-7
Twin Falls,Idaho,May,4,4
Twin Falls,Idaho,June,3,8
Twin Falls,Idaho,July,2,13
Twin Falls,Idaho,August,2,12
Twin Falls,Idaho,January,4,-7
Twin Falls,Idaho,February,3,-5
Twin Falls,Idaho,March,4,-2
Twin Falls,Idaho,April,4,0
Twin Falls,Idaho,septiembre,2,7
Twin Falls,Idaho,October,3,2
Twin Falls,Idaho,November,3,-3
Twin Falls,Idaho,December,3,-7
Adams,Illinois,May,9,11
Adams,Illinois,June,7,16
Adams,Illinois,July,6,18
Adams,Illinois,August,6,17
Adams,Illinois,January,4,-9
Adams,Illinois,February,4,-7
Adams,Illinois,March,7,-1
Adams,Illinois,April,7,5
Adams,Illinois,septiembre,6,13
Adams,Illinois,October,6,6
Adams,Illinois,November,6,0
Adams,Illinois,December,5,-6
Champaign,Illinois,May,9,13
Champaign,Illinois,June,9,18
Champaign,Illinois,July,7,19
Champaign,Illinois,August,5,18
Champaign,Illinois,January,5,-7
Champaign,Illinois,February,6,-6
Champaign,Illinois,March,6,1
Champaign,Illinois,April,8,6
Champaign,Illinois,septiembre,7,14
Champaign,Illinois,October,7,8
Champaign,Illinois,November,6,2
Champaign,Illinois,December,8,-4
Cook,Illinois,May,9,11
Cook,Illinois,June,8,16
Cook,Illinois,July,7,19
Cook,Illinois,August,7,19
Cook,Illinois,January,7,-8
Cook,Illinois,February,6,-6
Cook,Illinois,March,8,0
Cook,Illinois,April,8,5
Cook,Illinois,septiembre,6,14
Cook,Illinois,October,7,8
Cook,Illinois,November,7,1
Cook,Illinois,December,7,-5
DeKalb,Illinois,May,8,12
DeKalb,Illinois,June,10,17
DeKalb,Illinois,July,7,19
DeKalb,Illinois,August,7,18
DeKalb,Illinois,January,5,-6
DeKalb,Illinois,February,7,-5
DeKalb,Illinois,March,5,2
DeKalb,Illinois,April,8,6
DeKalb,Illinois,septiembre,5,14
DeKalb,Illinois,October,7,8
DeKalb,Illinois,November,5,2
DeKalb,Illinois,December,7,-3
DuPage,Illinois,May,9,9
DuPage,Illinois,June,8,14
DuPage,Illinois,July,7,17
DuPage,Illinois,August,7,16
DuPage,Illinois,January,6,-10
DuPage,Illinois,February,5,-7
DuPage,Illinois,March,7,-2
DuPage,Illinois,April,8,3
DuPage,Illinois,septiembre,6,12
DuPage,Illinois,October,6,5
DuPage,Illinois,November,7,0
DuPage,Illinois,December,6,-6
Kane,Illinois,May,9,9
Kane,Illinois,June,8,14
Kane,Illinois,July,7,17
Kane,Illinois,August,8,16
Kane,Illinois,January,5,-11
Kane,Illinois,February,5,-9
Kane,Illinois,March,6,-3
Kane,Illinois,April,8,3
Kane,Illinois,septiembre,6,11
Kane,Illinois,October,6,4
Kane,Illinois,November,7,-1
Kane,Illinois,December,7,-8
Kankakee,Illinois,May,8,10
Kankakee,Illinois,June,7,15
Kankakee,Illinois,July,7,18
Kankakee,Illinois,August,6,16
Kankakee,Illinois,January,6,-10
Kankakee,Illinois,February,5,-8
Kankakee,Illinois,March,7,-2
Kankakee,Illinois,April,8,4
Kankakee,Illinois,septiembre,6,12
Kankakee,Illinois,October,7,5
Kankakee,Illinois,November,7,0
Kankakee,Illinois,December,6,-6
Kendall,Illinois,May,9,11
Kendall,Illinois,June,8,16
Kendall,Illinois,July,6,17
Kendall,Illinois,August,7,17
Kendall,Illinois,January,4,-8
Kendall,Illinois,February,5,-7
Kendall,Illinois,March,6,0
Kendall,Illinois,April,8,5
Kendall,Illinois,septiembre,6,13
Kendall,Illinois,October,7,7
Kendall,Illinois,November,5,1
Kendall,Illinois,December,5,-5
Lake,Illinois,May,5,9
Lake,Illinois,June,6,15
Lake,Illinois,July,5,19
Lake,Illinois,August,6,19
Lake,Illinois,January,3,-7
Lake,Illinois,February,2,-6
Lake,Illinois,March,3,0
Lake,Illinois,April,5,4
Lake,Illinois,septiembre,5,15
Lake,Illinois,October,5,9
Lake,Illinois,November,6,3
Lake,Illinois,December,4,-4
LaSalle,Illinois,May,9,10
LaSalle,Illinois,June,8,15
LaSalle,Illinois,July,7,17
LaSalle,Illinois,August,7,16
LaSalle,Illinois,January,6,-10
LaSalle,Illinois,February,5,-8
LaSalle,Illinois,March,7,-2
LaSalle,Illinois,April,9,4
LaSalle,Illinois,septiembre,6,12
LaSalle,Illinois,October,6,5
LaSalle,Illinois,November,6,-1
LaSalle,Illinois,December,6,-7
McHenry,Illinois,May,9,8
McHenry,Illinois,June,8,13
McHenry,Illinois,July,7,16
McHenry,Illinois,August,7,15
McHenry,Illinois,January,5,-11
McHenry,Illinois,February,5,-10
McHenry,Illinois,March,6,-4
McHenry,Illinois,April,8,2
McHenry,Illinois,septiembre,6,10
McHenry,Illinois,October,7,4
McHenry,Illinois,November,6,-2
McHenry,Illinois,December,6,-8
McLean,Illinois,May,9,10
McLean,Illinois,June,8,16
McLean,Illinois,July,7,18
McLean,Illinois,August,7,17
McLean,Illinois,January,6,-9
McLean,Illinois,February,6,-7
McLean,Illinois,March,8,-2
McLean,Illinois,April,9,4
McLean,Illinois,septiembre,5,12
McLean,Illinois,October,7,6
McLean,Illinois,November,7,0
McLean,Illinois,December,7,-6
Macon,Illinois,May,9,11
Macon,Illinois,June,8,16
Macon,Illinois,July,7,19
Macon,Illinois,August,6,18
Macon,Illinois,January,6,-8
Macon,Illinois,February,5,-6
Macon,Illinois,March,7,0
Macon,Illinois,April,8,6
Macon,Illinois,septiembre,5,13
Macon,Illinois,October,6,7
Macon,Illinois,November,7,1
Macon,Illinois,December,6,-5
Madison,Illinois,May,9,14
Madison,Illinois,June,8,19
Madison,Illinois,July,6,21
Madison,Illinois,August,6,19
Madison,Illinois,January,5,-4
Madison,Illinois,February,6,-2
Madison,Illinois,March,8,3
Madison,Illinois,April,8,8
Madison,Illinois,septiembre,5,15
Madison,Illinois,October,7,9
Madison,Illinois,November,7,3
Madison,Illinois,December,6,-2
Peoria,Illinois,May,9,10
Peoria,Illinois,June,7,16
Peoria,Illinois,July,6,18
Peoria,Illinois,August,6,17
Peoria,Illinois,January,6,-9
Peoria,Illinois,February,5,-7
Peoria,Illinois,March,7,-1
Peoria,Illinois,April,8,5
Peoria,Illinois,septiembre,5,12
Peoria,Illinois,October,7,6
Peoria,Illinois,November,6,0
Peoria,Illinois,December,6,-6
Rock Island,Illinois,May,8,10
Rock Island,Illinois,June,8,16
Rock Island,Illinois,July,7,18
Rock Island,Illinois,August,7,17
Rock Island,Illinois,January,5,-10
Rock Island,Illinois,February,5,-8
Rock Island,Illinois,March,7,-2
Rock Island,Illinois,April,8,4
Rock Island,Illinois,septiembre,6,12
Rock Island,Illinois,October,6,6
Rock Island,Illinois,November,6,-1
Rock Island,Illinois,December,6,-7
St Clair,Illinois,May,9,13
St Clair,Illinois,June,7,18
St Clair,Illinois,July,6,20
St Clair,Illinois,August,5,18
St Clair,Illinois,January,5,-5
St Clair,Illinois,February,5,-3
St Clair,Illinois,March,7,2
St Clair,Illinois,April,8,8
St Clair,Illinois,septiembre,5,14
St Clair,Illinois,October,6,8
St Clair,Illinois,November,6,3
St Clair,Illinois,December,6,-2
Sangamon,Illinois,May,10,12
Sangamon,Illinois,June,8,18
Sangamon,Illinois,July,7,19
Sangamon,Illinois,August,6,18
Sangamon,Illinois,January,6,-7
Sangamon,Illinois,February,6,-6
Sangamon,Illinois,March,8,0
Sangamon,Illinois,April,8,6
Sangamon,Illinois,septiembre,6,14
Sangamon,Illinois,October,7,7
Sangamon,Illinois,November,6,1
Sangamon,Illinois,December,7,-4
Tazewell,Illinois,May,10,10
Tazewell,Illinois,June,8,15
Tazewell,Illinois,July,7,17
Tazewell,Illinois,August,7,16
Tazewell,Illinois,January,6,-9
Tazewell,Illinois,February,5,-7
Tazewell,Illinois,March,6,-2
Tazewell,Illinois,April,8,4
Tazewell,Illinois,septiembre,5,11
Tazewell,Illinois,October,7,5
Tazewell,Illinois,November,6,-1
Tazewell,Illinois,December,6,-6
Vermilion,Illinois,May,10,11
Vermilion,Illinois,June,8,16
Vermilion,Illinois,July,8,18
Vermilion,Illinois,August,7,17
Vermilion,Illinois,January,6,-8
Vermilion,Illinois,February,6,-6
Vermilion,Illinois,March,8,0
Vermilion,Illinois,April,9,5
Vermilion,Illinois,septiembre,6,13
Vermilion,Illinois,October,7,7
Vermilion,Illinois,November,7,1
Vermilion,Illinois,December,8,-5
Will,Illinois,May,9,9
Will,Illinois,June,8,15
Will,Illinois,July,7,18
Will,Illinois,August,7,17
Will,Illinois,January,5,-10
Will,Illinois,February,5,-8
Will,Illinois,March,7,-2
Will,Illinois,April,8,4
Will,Illinois,septiembre,6,12
Will,Illinois,October,6,6
Will,Illinois,November,6,0
Will,Illinois,December,6,-6
Williamson,Illinois,May,9,11
Williamson,Illinois,June,7,16
Williamson,Illinois,July,7,19
Williamson,Illinois,August,6,18
Williamson,Illinois,January,6,-7
Williamson,Illinois,February,6,-5
Williamson,Illinois,March,9,1
Williamson,Illinois,April,9,6
Williamson,Illinois,septiembre,6,13
Williamson,Illinois,October,7,7
Williamson,Illinois,November,7,2
Williamson,Illinois,December,7,-4
Winnebago,Illinois,May,9,9
Winnebago,Illinois,June,9,15
Winnebago,Illinois,July,7,17
Winnebago,Illinois,August,7,16
Winnebago,Illinois,January,6,-11
Winnebago,Illinois,February,5,-9
Winnebago,Illinois,March,7,-3
Winnebago,Illinois,April,8,3
Winnebago,Illinois,septiembre,6,11
Winnebago,Illinois,October,7,5
Winnebago,Illinois,November,6,-1
Winnebago,Illinois,December,7,-8
Allen,Indiana,May,9,10
Allen,Indiana,June,8,15
Allen,Indiana,July,7,17
Allen,Indiana,August,7,16
Allen,Indiana,January,7,-8
Allen,Indiana,February,6,-7
Allen,Indiana,March,8,-2
Allen,Indiana,April,9,4
Allen,Indiana,septiembre,6,12
Allen,Indiana,October,7,6
Allen,Indiana,November,7,1
Allen,Indiana,December,8,-5
Bartholomew,Indiana,May,9,13
Bartholomew,Indiana,June,9,18
Bartholomew,Indiana,July,8,20
Bartholomew,Indiana,August,5,18
Bartholomew,Indiana,January,7,-5
Bartholomew,Indiana,February,7,-3
Bartholomew,Indiana,March,9,2
Bartholomew,Indiana,April,10,7
Bartholomew,Indiana,septiembre,6,14
Bartholomew,Indiana,October,7,8
Bartholomew,Indiana,November,6,3
Bartholomew,Indiana,December,9,-2
Boone,Indiana,May,9,11
Boone,Indiana,June,8,16
Boone,Indiana,July,7,17
Boone,Indiana,August,6,16
Boone,Indiana,January,7,-8
Boone,Indiana,February,6,-6
Boone,Indiana,March,8,-1
Boone,Indiana,April,9,5
Boone,Indiana,septiembre,6,12
Boone,Indiana,October,6,6
Boone,Indiana,November,7,1
Boone,Indiana,December,8,-5
Clark,Indiana,May,8,13
Clark,Indiana,June,6,17
Clark,Indiana,July,6,20
Clark,Indiana,August,6,19
Clark,Indiana,January,5,-4
Clark,Indiana,February,5,-2
Clark,Indiana,March,8,2
Clark,Indiana,April,8,7
Clark,Indiana,septiembre,6,14
Clark,Indiana,October,5,8
Clark,Indiana,November,7,3
Clark,Indiana,December,7,-2
Delaware,Indiana,May,9,11
Delaware,Indiana,June,8,16
Delaware,Indiana,July,7,18
Delaware,Indiana,August,7,17
Delaware,Indiana,January,7,-8
Delaware,Indiana,February,6,-6
Delaware,Indiana,March,8,-1
Delaware,Indiana,April,9,5
Delaware,Indiana,septiembre,6,12
Delaware,Indiana,October,7,6
Delaware,Indiana,November,7,1
Delaware,Indiana,December,9,-4
Elkhart,Indiana,May,8,10
Elkhart,Indiana,June,8,15
Elkhart,Indiana,July,7,17
Elkhart,Indiana,August,7,16
Elkhart,Indiana,January,7,-8
Elkhart,Indiana,February,7,-7
Elkhart,Indiana,March,8,-2
Elkhart,Indiana,April,9,4
Elkhart,Indiana,septiembre,7,12
Elkhart,Indiana,October,8,6
Elkhart,Indiana,November,8,1
Elkhart,Indiana,December,8,-5
Floyd,Indiana,May,9,13
Floyd,Indiana,June,8,18
Floyd,Indiana,July,7,20
Floyd,Indiana,August,7,20
Floyd,Indiana,January,7,-5
Floyd,Indiana,February,6,-3
Floyd,Indiana,March,10,3
Floyd,Indiana,April,9,8
Floyd,Indiana,septiembre,7,16
Floyd,Indiana,October,6,9
Floyd,Indiana,November,8,4
Floyd,Indiana,December,7,-1
Grant,Indiana,May,9,9
Grant,Indiana,June,8,15
Grant,Indiana,July,7,17
Grant,Indiana,August,7,16
Grant,Indiana,January,7,-9
Grant,Indiana,February,6,-7
Grant,Indiana,March,8,-2
Grant,Indiana,April,9,3
Grant,Indiana,septiembre,6,12
Grant,Indiana,October,7,5
Grant,Indiana,November,8,0
Grant,Indiana,December,8,-5
Hamilton,Indiana,May,9,10
Hamilton,Indiana,June,6,15
Hamilton,Indiana,July,8,17
Hamilton,Indiana,August,8,16
Hamilton,Indiana,January,5,-11
Hamilton,Indiana,February,5,-9
Hamilton,Indiana,March,7,-1
Hamilton,Indiana,April,9,4
Hamilton,Indiana,septiembre,5,12
Hamilton,Indiana,October,8,5
Hamilton,Indiana,November,9,0
Hamilton,Indiana,December,7,-6
Hancock,Indiana,May,10,11
Hancock,Indiana,June,9,16
Hancock,Indiana,July,8,18
Hancock,Indiana,August,7,17
Hancock,Indiana,January,7,-8
Hancock,Indiana,February,6,-6
Hancock,Indiana,March,9,-1
Hancock,Indiana,April,10,5
Hancock,Indiana,septiembre,6,13
Hancock,Indiana,October,7,6
Hancock,Indiana,November,7,1
Hancock,Indiana,December,8,-5
Hendricks,Indiana,May,10,10
Hendricks,Indiana,June,7,16
Hendricks,Indiana,July,7,17
Hendricks,Indiana,August,6,16
Hendricks,Indiana,January,7,-8
Hendricks,Indiana,February,5,-6
Hendricks,Indiana,March,7,-1
Hendricks,Indiana,April,8,4
Hendricks,Indiana,septiembre,5,12
Hendricks,Indiana,October,6,6
Hendricks,Indiana,November,7,0
Hendricks,Indiana,December,7,-5
Howard,Indiana,May,9,10
Howard,Indiana,June,9,15
Howard,Indiana,July,7,17
Howard,Indiana,August,7,15
Howard,Indiana,January,8,-9
Howard,Indiana,February,7,-8
Howard,Indiana,March,9,-2
Howard,Indiana,April,9,3
Howard,Indiana,septiembre,6,11
Howard,Indiana,October,7,5
Howard,Indiana,November,8,0
Howard,Indiana,December,9,-6
Johnson,Indiana,May,9,11
Johnson,Indiana,June,9,17
Johnson,Indiana,July,8,18
Johnson,Indiana,August,6,17
Johnson,Indiana,January,7,-7
Johnson,Indiana,February,6,-6
Johnson,Indiana,March,8,0
Johnson,Indiana,April,9,5
Johnson,Indiana,septiembre,5,13
Johnson,Indiana,October,6,7
Johnson,Indiana,November,6,0
Johnson,Indiana,December,8,-4
Kosciusko,Indiana,May,9,10
Kosciusko,Indiana,June,8,16
Kosciusko,Indiana,July,7,17
Kosciusko,Indiana,August,7,16
Kosciusko,Indiana,January,7,-7
Kosciusko,Indiana,February,5,-6
Kosciusko,Indiana,March,6,-1
Kosciusko,Indiana,April,9,4
Kosciusko,Indiana,septiembre,7,13
Kosciusko,Indiana,October,7,7
Kosciusko,Indiana,November,7,1
Kosciusko,Indiana,December,7,-4
Lake,Indiana,May,9,9
Lake,Indiana,June,8,14
Lake,Indiana,July,7,17
Lake,Indiana,August,7,16
Lake,Indiana,January,7,-9
Lake,Indiana,February,5,-7
Lake,Indiana,March,7,-2
Lake,Indiana,April,9,3
Lake,Indiana,septiembre,7,12
Lake,Indiana,October,7,6
Lake,Indiana,November,8,0
Lake,Indiana,December,7,-6
LaPorte,Indiana,May,9,9
LaPorte,Indiana,June,8,14
LaPorte,Indiana,July,8,16
LaPorte,Indiana,August,8,15
LaPorte,Indiana,January,6,-10
LaPorte,Indiana,February,6,-8
LaPorte,Indiana,March,8,-3
LaPorte,Indiana,April,9,3
LaPorte,Indiana,septiembre,7,10
LaPorte,Indiana,October,8,4
LaPorte,Indiana,November,8,-1
LaPorte,Indiana,December,7,-7
Madison,Indiana,May,10,12
Madison,Indiana,June,8,17
Madison,Indiana,July,8,19
Madison,Indiana,August,6,18
Madison,Indiana,January,7,-5
Madison,Indiana,February,7,-3
Madison,Indiana,March,9,1
Madison,Indiana,April,10,6
Madison,Indiana,septiembre,6,15
Madison,Indiana,October,6,8
Madison,Indiana,November,8,3
Madison,Indiana,December,8,-2
Marion,Indiana,May,9,12
Marion,Indiana,June,8,17
Marion,Indiana,July,7,19
Marion,Indiana,August,6,18
Marion,Indiana,January,7,-6
Marion,Indiana,February,5,-5
Marion,Indiana,March,7,1
Marion,Indiana,April,9,6
Marion,Indiana,septiembre,5,14
Marion,Indiana,October,5,7
Marion,Indiana,November,7,2
Marion,Indiana,December,7,-4
Monroe,Indiana,May,9,12
Monroe,Indiana,June,8,17
Monroe,Indiana,July,8,19
Monroe,Indiana,August,6,18
Monroe,Indiana,January,7,-7
Monroe,Indiana,February,6,-5
Monroe,Indiana,March,8,0
Monroe,Indiana,April,10,6
Monroe,Indiana,septiembre,6,14
Monroe,Indiana,October,6,7
Monroe,Indiana,November,7,2
Monroe,Indiana,December,8,-4
Morgan,Indiana,May,9,10
Morgan,Indiana,June,8,15
Morgan,Indiana,July,8,17
Morgan,Indiana,August,6,16
Morgan,Indiana,January,7,-8
Morgan,Indiana,February,6,-6
Morgan,Indiana,March,8,-1
Morgan,Indiana,April,9,4
Morgan,Indiana,septiembre,6,12
Morgan,Indiana,October,6,5
Morgan,Indiana,November,7,0
Morgan,Indiana,December,8,-5
Porter,Indiana,May,9,9
Porter,Indiana,June,8,14
Porter,Indiana,July,7,17
Porter,Indiana,August,7,16
Porter,Indiana,January,7,-9
Porter,Indiana,February,6,-7
Porter,Indiana,March,8,-2
Porter,Indiana,April,9,4
Porter,Indiana,septiembre,7,12
Porter,Indiana,October,8,6
Porter,Indiana,November,8,1
Porter,Indiana,December,8,-5
St Joseph,Indiana,May,9,9
St Joseph,Indiana,June,8,15
St Joseph,Indiana,July,7,17
St Joseph,Indiana,August,8,16
